City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
368,Dunedin,NZ,-45.8742,170.5036,42.8,83,100,11.99,overcast clouds
369,Marawi,PH,7.9986,124.2928,69.91,94,50,3.53,scattered clouds
370,Tevaitoa,PF,-16.7833,-151.5,77.59,67,0,10.22,clear sky
371,Vila Do Maio,CV,15.1333,-23.2167,78.57,80,26,3.8,scattered clouds
372,Solnechnyy,RU,50.7214,136.6319,58.68,94,100,5.06,overcast clouds
373,Pecos,US,31.4229,-103.4932,103.03,14,0,10.36,clear sky
374,Pangody,RU,65.85,74.4859,57.2,51,100,10.27,overcast clouds
375,Mattoon,US,39.4831,-88.3728,90.84,55,0,9.22,clear sky
376,Dudinka,RU,69.4058,86.1778,52.63,81,99,8.14,overcast clouds
377,Dong Xoai,VN,11.5333,106.9167,73.4,98,100,3.36,moderate rain
378,Daru,PG,-9.0763,143.2092,75.85,93,100,11.59,overcast clouds
379,Am Timan,TD,11.0297,20.2827,76.42,80,97,0.58,overcast clouds
380,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.64,84,50,11.56,scattered clouds
381,Hegang,CN,47.4,130.3667,61.99,99,35,3.44,scattered clouds
382,Duldurga,RU,50.6761,113.5931,57.72,93,100,3.69,overcast clouds
383,High Level,CA,58.5169,-117.136,75.24,30,5,10.85,clear sky
384,Clyde River,CA,70.4692,-68.5914,38.73,83,100,2.51,light rain
385,Wonthaggi,AU,-38.6044,145.5913,44.46,90,7,7.78,clear sky
386,Wenatchee,US,47.4235,-120.3103,93.67,27,0,1.99,clear sky
387,Scarborough,GB,54.2797,-0.4044,67.57,78,90,1.01,overcast clouds
388,Kristinehamn,SE,59.3098,14.1081,79.36,49,89,3.62,overcast clouds
389,Lodja,CD,-3.4833,23.4333,81.25,45,86,1.7,overcast clouds
390,Merauke,ID,-8.4667,140.3333,75.7,90,100,11.07,overcast clouds
391,Emerald,AU,-23.5333,148.1667,56.34,88,71,11.72,broken clouds
392,Oussouye,SN,12.485,-16.5469,77.72,88,100,5.91,moderate rain
393,Bandarbeyla,SO,9.4942,50.8122,77.94,66,98,26.31,overcast clouds
394,Lubao,PH,14.9167,120.55,78.82,86,86,4.29,overcast clouds
395,Urumqi,CN,43.801,87.6005,70.75,35,0,11.18,clear sky
396,Karasjok,NO,69.4719,25.5112,59.43,79,100,5.53,overcast clouds
397,Araouane,ML,18.9048,-3.5265,93.4,36,79,7.56,broken clouds
398,Karlstadt,DE,49.9603,9.7722,81.7,45,98,11.41,overcast clouds
399,Airai,TL,-8.9266,125.4092,56.86,94,82,3.31,broken clouds
400,Hami,CN,42.8,93.45,65.05,59,2,3.29,clear sky
